Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-06,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.58,2025-01-06 12:00:00,92.0
2025-01-06,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.9,2025-01-06 13:00:00,92.6
2025-01-06,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,62.29,2025-01-06 14:00:00,154.5
2025-01-06,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,35.39,2025-01-06 15:00:00,100.0
2025-01-06,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.72,2025-01-06 16:00:00,75.4
2025-01-06,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,16.35,2025-01-06 17:00:00,59.9
2025-01-06,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,19.08,2025-01-06 18:00:00,65.7
2025-01-06,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,18.97,2025-01-06 19:00:00,65.4
2025-01-06,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,22.94,2025-01-06 20:00:00,73.8
2025-01-06,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,20.71,2025-01-06 21:00:00,69.1
2025-01-06,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,15.34,2025-01-06 22:00:00,57.8
2025-01-06,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,13.33,2025-01-06 23:00:00,53.6
2025-01-07,0:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,31.21,2025-01-07 00:00:00,91.2
2025-01-07,1:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,27.64,2025-01-07 01:00:00,83.7
2025-01-07,2:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,23.95,2025-01-07 02:00:00,75.9
2025-01-07,3:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,14.19,2025-01-07 03:00:00,55.4
2025-01-07,4:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.23,2025-01-07 04:00:00,42.6
2025-01-07,5:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,8.28,2025-01-07 05:00:00,34.5
2025-01-07,6:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,16.48,2025-01-07 06:00:00,60.2
2025-01-07,7:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.24,2025-01-07 07:00:00,42.7
2025-01-07,8:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,55.84,2025-01-07 08:00:00,151.2
