datetime,wind_dir,wind_speed,wind_dir_deg
2025-02-03 21:00:00,CAL,0.0,
2025-02-04 00:00:00,CAL,0.0,
2025-02-04 00:00:00,CAL,0.0,
2025-02-04 03:00:00,SE,7.2,135.0
2025-02-04 06:00:00,E,10.8,90.0
2025-02-04 09:00:00,ENE,7.2,67.5
2025-02-04 12:00:00,E,7.2,90.0
2025-02-04 15:00:00,ENE,3.6,67.5
2025-02-04 18:00:00,N,3.6,0.0
2025-02-04 21:00:00,CAL,0.0,
2025-02-05 00:00:00,W,7.2,270.0
2025-02-05 00:00:00,W,7.2,270.0
2025-02-05 03:00:00,NE,7.2,45.0
2025-02-05 06:00:00,E,7.2,90.0
2025-02-05 09:00:00,E,10.8,90.0
2025-02-05 12:00:00,ENE,7.2,67.5
2025-02-05 15:00:00,NW,3.6,315.0
2025-02-05 18:00:00,N,3.6,0.0
2025-02-05 21:00:00,NNE,3.6,22.5
2025-02-06 00:00:00,NNE,10.8,22.5
2025-02-06 00:00:00,NNE,10.8,22.5
2025-02-06 03:00:00,E,10.8,90.0
2025-02-06 06:00:00,ENE,10.8,67.5
2025-02-06 09:00:00,ENE,7.2,67.5
2025-02-06 12:00:00,E,7.2,90.0
2025-02-06 15:00:00,E,3.6,90.0
2025-02-06 18:00:00,E,3.6,90.0
2025-02-06 21:00:00,E,3.6,90.0
2025-02-07 00:00:00,NNE,3.6,22.5
2025-02-07 00:00:00,NNE,3.6,22.5
2025-02-07 03:00:00,NE,7.2,45.0
2025-02-07 06:00:00,SE,7.2,135.0
2025-02-07 09:00:00,NE,7.2,45.0
2025-02-07 12:00:00,ESE,3.6,112.5
2025-02-07 15:00:00,NE,3.6,45.0
2025-02-07 18:00:00,NE,3.6,45.0
2025-02-07 21:00:00,ENE,3.6,67.5
2025-02-08 00:00:00,E,3.6,90.0
2025-02-08 00:00:00,E,3.6,90.0
2025-02-08 03:00:00,E,10.8,90.0
2025-02-08 06:00:00,E,10.8,90.0
2025-02-08 09:00:00,E,7.2,90.0
